"phen" "total" "sign_disc" "sign_repl" "sign_disc_top" "sign_repl_top" "weak_instr"
"ukb-b-20486" 11 6 8 1 2 -1
"ukb-b-1917" 0 0 0 0 0 0
"ukb-b-3798" 0 0 0 0 0 0
"ukb-b-16862" 0 0 0 0 0 0
"ukb-b-20141" 17 25 25 6 7 -1
"ukb-b-8089" 17 0 4 0 3 -3
"ukb-b-20554" 0 0 0 0 0 0
"ukb-b-15784" 3 0 2 0 1 -1
"ukb-b-15960" 1 0 0 0 0 0
"ukb-b-5753" 1 0 0 0 0 0
"ukb-b-20544" 58 83 115 6 5 1
"ukb-b-10284" 0 0 0 0 0 0
"ukb-b-6306" 109 78 145 11 15 -4
"ukb-b-15340" 0 0 0 0 0 0
"ukb-b-11411" 12 31 30 5 6 -1
"ukb-b-6863" 3 8 7 3 2 1
"ukb-b-3217" 0 0 1 0 0 0
"ukb-b-11664" 0 0 0 0 0 0
"ukb-b-4540" 3 9 2 2 1 1
"ukb-b-2993" 2 0 0 0 0 0
"ukb-b-4310" 0 0 0 0 0 0
"ukb-b-19253" 0 0 0 0 0 0
"ukb-b-4531" 0 0 0 0 0 0
"ukb-b-12087" 0 0 0 0 0 0
"ukb-b-11705" 0 0 0 0 0 0
"ukb-b-14518" 0 0 0 0 0 0
"ukb-b-7372" 0 1 0 0 0 0
"ukb-b-20513" 0 0 0 0 0 0
"ukb-b-4880" 0 0 0 0 0 0
"ukb-b-2091" 1 0 0 0 0 0
"ukb-b-3831" 0 0 0 0 0 0
"ukb-b-10586" 0 0 0 0 0 0
"ukb-b-9668" 0 1 0 0 0 0
"ukb-b-2303" 448 1177 1235 147 145 2
"ukb-b-4554" 0 0 0 0 0 0
"ukb-b-9686" 1 0 0 0 0 0
"ukb-b-1251" 1 0 0 0 0 0
"ukb-b-3241" 0 0 0 0 0 0
"ukb-b-4817" 0 0 0 0 0 0
"ukb-b-10070" 0 0 0 0 0 0
"ukb-b-12885" 0 0 0 0 0 0
"ukb-b-1166" 0 0 0 0 0 0
"ukb-b-14171" 2 1 0 1 0 1
"ukb-b-12267" 5 26 19 3 1 2
"ukb-b-5068" 0 0 0 0 0 0
"ukb-b-17469" 0 0 0 0 0 0
"ukb-b-9523" 2 0 0 0 0 0
"ukb-b-2838" 0 0 0 0 0 0
"ukb-b-14050" 0 0 0 0 0 0
"ukb-b-4080" 368 976 991 147 158 -11
"ukb-b-15914" 0 0 0 0 0 0
"ukb-b-17219" 22 116 96 10 10 0
"ukb-b-15418" 11 12 18 3 3 0
"ukb-b-8887" 0 0 0 0 0 0
"ukb-b-12912" 19 6 4 6 4 2
"ukb-b-1261" 0 0 0 0 0 0
"ukb-b-20045" 1 0 0 0 0 0
"ukb-b-5436" 0 0 0 0 0 0
"ukb-b-10813" 1 1 0 0 0 0
"ukb-b-6548" 1 29 0 1 0 1
"ukb-b-14598" 6 0 0 0 0 0
"ukb-b-20057" 0 0 1 0 0 0
"ukb-b-5031" 0 0 0 0 0 0
"ukb-b-1176" 0 0 0 0 0 0
"ukb-b-9897" 0 0 0 0 0 0
"ukb-b-8092" 0 0 0 0 0 0
"ukb-b-7739" 0 0 0 0 0 0
"ukb-b-11605" 4 0 0 0 0 0
"ukb-b-5580" 0 0 0 0 0 0
"ukb-b-18200" 163 458 415 61 65 -4
"ukb-b-10753" 71 219 200 27 30 -3
"ukb-b-17194" 2 2 2 2 2 0
"ukb-b-5326" 0 0 0 0 0 0
"ukb-b-17885" 6 30 31 1 3 -2
"ukb-b-6324" 23 13 12 2 3 -1
"ukb-b-12499" 2 0 0 0 0 0
"ukb-b-10061" 0 0 0 0 0 0
"ukb-b-13731" 0 0 0 0 0 0
"ukb-b-2634" 2 0 0 0 0 0
"ukb-b-5553" 2 0 3 0 0 0
"ukb-b-11231" 2 15 12 1 1 0
"ukb-b-12064" 1 0 0 0 0 0
"ukb-b-1480" 0 0 0 0 0 0
"ukb-b-3852" 0 0 0 0 0 0
"ukb-b-15200" 0 0 0 0 0 0
"ukb-b-3370" 0 0 0 0 0 0
"ukb-b-13501" 0 0 0 0 0 0
"ukb-b-930" 2 0 0 0 0 0
"ukb-b-1419" 13 10 9 2 1 1
"ukb-b-8792" 0 0 0 0 0 0
"ukb-b-19419" 0 0 0 0 0 0
"ukb-b-11886" 0 0 0 0 0 0
"ukb-b-4078" 21 3 3 2 3 -1
"ukb-b-16597" 6 0 0 0 0 0
"ukb-b-12828" 513 1998 2068 220 225 -5
"ukb-b-10979" 0 0 0 0 0 0
"ukb-b-11459" 0 0 0 0 0 0
"ukb-b-10098" 0 0 0 0 0 0
"ukb-b-5253" 0 0 0 0 0 0
"ukb-b-10857" 1 1 0 0 0 0
"ukb-b-19732" 122 323 346 46 47 -1
"ukb-b-676" 0 5 0 0 0 0
"ukb-b-20447" 0 0 0 0 0 0
"ukb-b-3273" 0 0 0 0 0 0
"ukb-b-11491" 1 0 0 0 0 0
"ukb-b-2426" 0 0 0 0 0 0
"ukb-b-6852" 211 289 278 73 70 3
"ukb-b-6549" 0 0 0 0 0 0
"ukb-b-2964" 0 0 0 0 0 0
"ukb-b-12687" 2 2 0 0 0 0
"ukb-b-5945" 122 145 148 38 38 0
"ukb-b-17845" 0 0 0 0 0 0
"ukb-b-2346" 6 0 0 0 0 0
"ukb-b-14765" 2 0 1 0 0 0
"ukb-b-11004" 0 0 0 0 0 0
"ukb-b-16202" 0 0 0 0 0 0
"ukb-b-6027" 194 494 477 88 82 6
"ukb-b-7128" 0 0 0 0 0 0
"ukb-b-9592" 5 35 16 2 3 -1
"ukb-b-2729" 0 0 0 0 0 0
"ukb-b-1209" 11 6 5 1 2 -1
"ukb-b-15564" 1 0 0 0 0 0
"ukb-b-7375" 0 0 0 0 0 0
"ukb-b-19713" 0 0 0 0 0 0
"ukb-b-9493" 0 0 0 0 0 0
"ukb-b-7864" 1 0 0 0 0 0
"ukb-b-3752" 1 0 0 0 0 0
"ukb-b-18235" 0 0 0 0 0 0
"ukb-b-17085" 4 12566 12358 3 4 -1
"ukb-b-8685" 0 0 0 0 0 0
"ukb-b-6616" 0 0 0 0 0 0
"ukb-b-4094" 31 16 26 1 6 -5
"ukb-b-8374" 0 0 0 0 0 0
"ukb-b-8724" 0 0 0 0 0 0
"ukb-b-12114" 0 0 0 0 0 0
"ukb-b-19560" 160 13694 13688 122 127 -5
"ukb-b-4178" 0 0 0 0 0 0
"ukb-b-1160" 1 0 0 0 0 0
"ukb-b-6576" 0 0 0 0 0 0
"ukb-b-17189" 1 0 0 0 0 0
